source_frame,timestamp_seconds,detected,class_name,confidence,x_center,y_center,width,height,x_min,y_min,x_max,y_max
154,2.569233,True,Squash-Line-Calling,0.333919,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
155,2.585917,False,,,,,,,,,,
156,2.602600,False,,,,,,,,,,
157,2.619283,False,,,,,,,,,,
158,2.635967,False,,,,,,,,,,
159,2.652650,False,,,,,,,,,,
160,2.669333,False,,,,,,,,,,
161,2.686017,True,Squash-Line-Calling,0.252019,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
162,2.702700,False,,,,,,,,,,
163,2.719383,True,Squash-Line-Calling,0.251156,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
164,2.736067,False,,,,,,,,,,
165,2.752750,True,Squash-Line-Calling,0.250634,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
166,2.769433,True,Squash-Line-Calling,0.251630,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
167,2.786117,False,,,,,,,,,,
168,2.802800,True,Squash-Line-Calling,0.259015,1246.000,426.000,8.000,8.000,1242.000,422.000,1250.000,430.000
169,2.819483,False,,,,,,,,,,
170,2.836167,True,Squash-Line-Calling,0.651172,1257.000,426.000,10.000,8.000,1252.000,422.000,1262.000,430.000
171,2.852850,True,Squash-Line-Calling,0.267796,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
172,2.869533,True,Squash-Line-Calling,0.275264,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
173,2.886217,True,Squash-Line-Calling,0.263853,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
174,2.902900,True,Squash-Line-Calling,0.288534,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
175,2.919583,True,Squash-Line-Calling,0.394418,1288.000,432.000,8.000,8.000,1284.000,428.000,1292.000,436.000
176,2.936267,True,Squash-Line-Calling,0.485804,1296.000,434.000,8.000,8.000,1292.000,430.000,1300.000,438.000
177,2.952950,True,Squash-Line-Calling,0.565889,1302.000,437.000,8.000,10.000,1298.000,432.000,1306.000,442.000
178,2.969633,True,Squash-Line-Calling,0.581545,1310.000,440.000,8.000,8.000,1306.000,436.000,1314.000,444.000
179,2.986317,True,Squash-Line-Calling,0.508496,1318.000,443.000,8.000,6.000,1314.000,440.000,1322.000,446.000
180,3.003000,True,Squash-Line-Calling,0.546639,1326.000,446.000,8.000,8.000,1322.000,442.000,1330.000,450.000
181,3.019683,True,Squash-Line-Calling,0.476294,1334.000,451.000,8.000,6.000,1330.000,448.000,1338.000,454.000
182,3.036367,True,Squash-Line-Calling,0.550951,1343.000,456.000,10.000,8.000,1338.000,452.000,1348.000,460.000
183,3.053050,True,Squash-Line-Calling,0.638002,1352.000,462.000,8.000,8.000,1348.000,458.000,1356.000,466.000
184,3.069733,True,Squash-Line-Calling,0.644552,1362.000,468.000,8.000,8.000,1358.000,464.000,1366.000,472.000
185,3.086417,True,Squash-Line-Calling,0.557924,1372.000,475.000,8.000,10.000,1368.000,470.000,1376.000,480.000
186,3.103100,True,Squash-Line-Calling,0.460998,1383.000,482.000,10.000,8.000,1378.000,478.000,1388.000,486.000
187,3.119783,True,Squash-Line-Calling,0.404074,1393.000,491.000,10.000,6.000,1388.000,488.000,1398.000,494.000
188,3.136467,True,Squash-Line-Calling,0.631596,1405.000,500.000,10.000,8.000,1400.000,496.000,1410.000,504.000
189,3.153150,True,Squash-Line-Calling,0.309164,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
190,3.169833,True,Squash-Line-Calling,0.315820,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
191,3.186517,True,Squash-Line-Calling,0.320101,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
192,3.203200,True,Squash-Line-Calling,0.324041,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
193,3.219883,True,Squash-Line-Calling,0.319642,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
194,3.236567,True,Squash-Line-Calling,0.316339,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
195,3.253250,True,Squash-Line-Calling,0.326597,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
